0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
大樂透,110000026,110/02/26,,,,04,13,22,23,39,42,26,,,,,
大樂透,110000025,110/02/23,,,,01,06,18,19,20,42,43,,,,,
大樂透,110000024,110/02/21,,,,09,18,25,27,32,39,40,,,,,
大樂透,110000023,110/02/20,,,,01,06,10,11,26,47,22,,,,,
大樂透,110000022,110/02/19,,,,02,28,31,36,40,45,24,,,,,
大樂透,110000021,110/02/18,,,,01,03,09,41,42,48,27,,,,,
大樂透,110000020,110/02/17,,,,02,13,24,26,45,49,10,,,,,
大樂透,110000019,110/02/16,,,,01,09,11,12,37,46,43,,,,,
大樂透,110000018,110/02/15,,,,04,08,10,18,33,40,02,,,,,
大樂透,110000017,110/02/14,,,,01,12,16,17,38,45,32,,,,,
大樂透,110000016,110/02/13,,,,13,30,37,40,43,46,05,,,,,
大樂透,110000015,110/02/12,,,,05,06,10,12,44,48,36,,,,,
大樂透,110000014,110/02/11,,,,07,17,18,26,41,47,39,,,,,
大樂透,110000013,110/02/10,,,,03,18,24,34,41,42,37,,,,,
大樂透,110000012,110/02/09,,,,01,03,06,12,27,43,02,,,,,
大樂透,110000011,110/02/05,,,,05,09,19,31,33,35,32,,,,,
大樂透,110000010,110/02/02,,,,14,34,35,38,43,47,40,,,,,
